Name;Street;Neighborhood;City;Rating;Number of Reviews;Place ID;Type;Latitude;Longitude
Sonho dos Bichos Pet Shop;Rua Barra Mansa, 14;Vila Bela Vista;Santo André;4.5;56.0;ChIJJZ79vA5CzpQRYFr5qErVnag;veterinary_care;-23.6860957;-46.5221935
Avicultura Kawai;Rua das Hortências, 1474;Jardim do Estádio;Santo André;4.7;9.0;ChIJjRHNWv1pzpQRtsd5xfDk354;pet_store;-23.6888369;-46.5159324
Pet Shop STOP DOG;WhatsApp: (11) 96374-3363, Rua Juquiá, 841;Jardim Cristiane;Santo André;4.7;47.0;ChIJ00ND02lhVwERC3AT1JJ9YTs;veterinary_care;-23.683023;-46.5279078
Pet Shop Magia Dracena;Rua Dracena, 261;Jardim Alvorada;Santo André;4.7;42.0;ChIJA0iGUOtDzpQRrU1gNNSfL0c;pet_store;-23.6953101;-46.52528359999999
Coq Pet Shop;Rua Carijós, 2574;Vila Linda;Santo André;5.0;29.0;ChIJyfBgMV9DzpQRxWB1lburwkI;pet_store;-23.69287370000001;-46.5212194
Avicultura carijos 2;Rua Carijós, 2576;Vila Linda;Santo André;5.0;3.0;ChIJjTy-JwRCzpQRbKodPQq6f7M;pet_store;-23.6928588;-46.52115379999999
Pupos Pet Shop;Rua Carijós, 2544;Jardim Alvorada;Santo André;5.0;1.0;ChIJw-nkNu5DzpQReX6pFohdMUU;pet_store;-23.6925827;-46.5212367
Climeve Petstore e estética animal;Avenida Brasília, 269;Vila Bela Vista;Santo André;5.0;35.0;ChIJr9z7as1DzpQR8O0gZoHZnWU;pet_store;-23.6910794;-46.5240028
Juarez - Tudo para o seu pet, de A a Z!;Rua Carijós, 2348;Vila Linda;Santo André;5.0;100.0;ChIJFy6KvclDzpQR28Ci8dppwD8;pet_store;-23.6909577;-46.52195019999999
Odair Recindivi Comércio de Gaiolas;Rua Alabastro, 761;Jardim do Estádio;Santo André;4.6;114.0;ChIJ7yd23gBCzpQRp0UAHbQQJhQ;pet_store;-23.6946109;-46.5182739
Bicho de Luxo - Centro Estético Animal;Rua das Hortências, 1911;Vila Helena;Santo André;5.0;19.0;ChIJAV-4OAZCzpQRd3ralxyNYqA;pet_store;-23.6904728;-46.51962779999999
Pets Moly Petshop;Avenida Rangel Pestana, 1059;Jardim Cristiane;Santo André;5.0;1.0;ChIJ1bDP4gJDzpQRwfDrbQNDyws;pet_store;-23.6889352;-46.531302
Bichomania Avicultura;Rua Carijós, 2052;Vila Linda;Santo André;5.0;12.0;ChIJpYNB3cpDzpQRSDBJV70cXHY;pet_store;-23.6882882;-46.5223451
MV Estética Animal;Avenida Rangel Pestana, 708;Jardim Cristiane;Santo André;4.8;21.0;ChIJ04xXqhZCzpQRHGXiLW56v-g;pet_store;-23.6874805;-46.5290975
Pet Shop Projeto Animal;Rua Ingá, 305;Vila Linda;Santo André;5.0;2.0;ChIJU4atOglCzpQRLPxldcI8DAk;pet_store;-23.68656559999999;-46.520401
Avicultura Barros;Avenida Rangel Pestana, 356;Jardim Cristiane;Santo André;4.7;44.0;ChIJT81OYRJCzpQREf7VPC5sZuY;pet_store;-23.6850516;-46.52699129999999
Veterinária Carijós;Rua Carijós, 2052;Sala 2 - Vila Linda;Santo André;5.0;6.0;ChIJjTgYTnRDzpQR7n_AKerg-20;veterinary_care;-23.688288;-46.522345
Centro de Estética Animal PET ARTE;Rua das Hortências, 1640;Jardim do Estádio;Santo André;4.2;10.0;ChIJX-yBkwdCzpQRRy9X1q6ZOxA;veterinary_care;-23.6896973;-46.51716400000001
Kakareku's aquarium Bath and Tosa;Avenida Dom Pedro I, 3259;Vila Lutécia;Santo André;4.6;448.0;ChIJC20IkvdpzpQRxWl-I7Gwiy8;pet_store;-23.6925056;-46.5059495
Pet Shop em Santo André | Pet Shop Vitória;Avenida Dom Pedro I, 2595;Vila Vitória;Santo André;4.7;317.0;ChIJHSjokPppzpQR1bWCS0xkMQs;pet_store;-23.6865293;-46.5073557
Pet Koi;Avenida Dom Pedro I, 3259;Vila Lutécia;Santo André;4.8;6.0;ChIJq6qGkfdpzpQRyav8U1Th2eI;pet_store;-23.6925056;-46.5059495
PET CRECHE PET HOTEL ETERNO AMIGO;Avenida Capitão Mário Toledo de Camargo, 4604;Vila Mazzei;Santo André;4.2;55.0;ChIJYxKa6BxqzpQRN_QnSNUc9iM;pet_store;-23.6930169;-46.5073824
Odonto Shop;Rua Braúna, 325;Vila Junqueira;Santo André;4.9;30.0;ChIJmS8YZvxpzpQRsi85gE3MabI;pet_store;-23.6895645;-46.51232299999999
Pet Shop Eskina dos Bichos;Rua Bororé, 359;Vila Vitória;Santo André;4.7;131.0;ChIJJWse-_xpzpQRN2zOVZ3_2Mg;pet_store;-23.6889725;-46.5133592
PET MI - Avicultura & Pet Shop em Santo André;Rua das Hortências, 1420;Jardim do Estádio;Santo André;5.0;8.0;ChIJMelQgrJpzpQRKNAEX80R4pg;pet_store;-23.6883609;-46.5154547
Pet Shop Hortência;Rua das Hortências, 1088;Jardim do Estádio;Santo André;4.7;506.0;ChIJySHGeOJpzpQR7BO_ENq05l0;pet_store;-23.685344;-46.51617290000001
Villa Vet Clinica Veterinária;Rua Jurubatuba, 231;Vila Pires;Santo André;4.5;414.0;ChIJkXjqH-FpzpQRecUpAM0rfGU;veterinary_care;-23.679744;-46.5125928
Fauna Brasil Veterinária e Estética;Avenida Capitão Mário Toledo de Camargo, 3345;Vila Luzita;Santo André;4.7;64.0;ChIJb3t9esNpzpQRqcQTKreElCw;veterinary_care;-23.6922957;-46.5068934
Veterinary Hospital Dom Pedro;Avenida Dom Pedro I, 2491;Vila Vitória;Santo André;4.3;197.0;ChIJO3Sm6M1CzpQRT4e44fVd3v0;veterinary_care;-23.6858246;-46.50750059999999
Toca dos Animais;;;;4.6;36.0;ChIJIbEoztppzpQRjHJ1zEFHqpE;veterinary_care;-23.6904446;-46.4985403
Clinica veterinária&petshop animal rei;Rua Alfredo Pujol, 21;Jardim Ipanema;Santo André;4.6;91.0;ChIJu66zn1lpzpQRXCZklL6x9TU;veterinary_care;-23.6854478;-46.49951129999999
Clinike - Veterinary Clinic;Rua Adélino Fontoura, 364;Vila Progresso;Santo André;4.8;787.0;ChIJKRzWBPNpzpQRXhsTaDAQx1E;veterinary_care;-23.684772;-46.49889100000001
VETERINARIO A DOMICILIO EM SANTO ANDRE - DRA VIVIAN R. LARANJEIRAS TEIXEIRA;Rua Adélino Fontoura, 364;Jardim Silvana;Santo André;5.0;61.0;ChIJ92wIRG1pzpQR5-w-awbG5LQ;veterinary_care;-23.6846936;-46.4989946
Avicultura Beija - Flor;Avenida Queirós Filho, 3130;Parque Industriario;Santo André;4.0;2.0;ChIJoY-I5B9qzpQRc6OBJtJHBE8;pet_store;-23.691492;-46.4978127
Pet Shop Dinamus;Avenida Valentim Magalhães, 2643;Vila Guaraciaba;Santo André;4.4;23.0;ChIJixhs8yBqzpQRJzb_zAaU7uw;pet_store;-23.69119839999999;-46.49409749999999
Pet Shop My Pet Peludinhos Estética Animal;Avenida Valentim Magalhães, 3422;Condomínio Maracanã;Santo André;5.0;3.0;ChIJ_SjK5OxpzpQRdeT4VOBSW_Q;pet_store;-23.6929084;-46.4913827
bernardopet;Avenida Queirós Filho, 2720;Vila Suíça;Santo André;5.0;2.0;ChIJef9YQDlpzpQR_Ul-McELTAM;pet_store;-23.6877924;-46.4993158
Casa de ração arca de Noé;Rua Maria José Stein, 47;Sítio Cassaquera;Santo André;5.0;2.0;ChIJJ3Sd0strzpQRBRjwv6nLSdM;pet_store;-23.6904536;-46.4913491
Fama Pet;Avenida Valentim Magalhães, 2116;Vila Guaraciaba;Santo André;5.0;4.0;ChIJAczeL8VpzpQRp71UAy56aaw;pet_store;-23.6872611;-46.4951279
Pet shop da jo;Avenida Queirós Filho, 2552;Vila Humaita;Santo André;4.7;6.0;ChIJY5nm7pBpzpQRwZQLUPB7DxU;pet_store;-23.6863843;-46.499275
Centro de estética canina Caorinhoso;Rua Bororós, 256;Vila Pires;Santo André;5.0;5.0;ChIJj_o77-RpzpQRoCBfbVnZA1k;pet_store;-23.6843201;-46.5097364
Creche da Tutu;Avenida Dom Pedro I, I, 2212;Vila Pires;Santo André;4.5;55.0;ChIJm-RnjL9pzpQRh9J0pr_PLIU;pet_store;-23.683529;-46.5085722
Consulte Vet Home - Clinica Veterinária;Rua Afonso Lopes, 148;Silvana;Santo André;5.0;22.0;ChIJcSN1SNRDzpQRgALXZqaEMXM;veterinary_care;-23.6836953;-46.4969835
Pet Max;Rua Gerson Giotto, 9;Pq Ancheita;Mauá;5.0;24.0;ChIJEbDBLYRrzpQR9xTJ2Kcxm2U;pet_store;-23.6884907;-46.4605691
Pet Shop e Clínica Veterinária Anchieta;Rua Alfredo de Souza, 245;Jardim Anchieta;Mauá;4.8;234.0;ChIJh8nNzsJrzpQRcItIPfio_nU;veterinary_care;-23.6878436;-46.4598478
Amor de Patas;Rua Carlos Mario Rimaza, 483;Vila Assis Brasil;Mauá;5.0;21.0;ChIJ05ebwY5rzpQRHEhW1p9YlR4;pet_store;-23.6837501;-46.4632742
Gretha Comércio de Rações;Avenida Assis Brasil, 49;Vila Assis Brasil;Mauá;5.0;3.0;ChIJb8p5m31rzpQRKu_yJ5VxWOA;pet_store;-23.68173969999999;-46.4667211
Bethoven Rações;Rua Lasar Segall, 141;Vila Assis Brasil;Mauá;4.8;269.0;ChIJ1_-6ld5rzpQRwpdi1BKQpjo;pet_store;-23.6823632;-46.4619936
Lobo Estética animal;Avenida Dom José Gaspar, 1564;Matriz;Mauá;4.5;4.0;ChIJSW-s0ahrzpQRKIwebnWuWs8;pet_store;-23.6827089;-46.4607636
Clínica médica veterinária Dr. Coelho;R. Clarisse de Jesus Lázaro Bedeschi, 142;Parque Sao Vicente;Mauá;5.0;1.0;ChIJiW2Bh5hrzpQRJzbObjsrlAU;veterinary_care;-23.6855988;-46.4657404
Clínica veterinária CãoGuru;Rua Lasar Segall, 181;Vila Assis Brasil;Mauá;5.0;11.0;ChIJ9SfrEJprzpQR5cymPj5M4Io;veterinary_care;-23.6824507;-46.4623835
Pet Shop Woodpecker;Rua Brasil, 1571;Parque das Américas;Mauá;4.4;523.0;ChIJzaDBhe1rzpQRU_luXVEez3w;pet_store;-23.690344;-46.44928099999999
Pet Shop Bichos & Rabichos;Rua Havana, 230;Parque das Américas;Mauá;4.1;19.0;ChIJDQWjJfNrzpQRhuJO2vTE3ts;pet_store;-23.6914383;-46.44609440000001
Clinica veterinária Popular SOSPET;Rua Canadá, 76;Parque das Américas;Mauá;5.0;30.0;ChIJOf9PSjprzpQRia1Fkufoduw;veterinary_care;-23.6890014;-46.4449757
Gigi Bertoni Pet Sitter;Rua Brasília, 0;Parque das Américas;Mauá;4.3;10.0;ChIJg1GNjOKmsJQRzgihJiXTLsE;pet_store;-23.6856608;-46.4482914
T.W.N. Pet Banho e Tosa;Rua Otawa, 36;Parque das Américas;Mauá;5.0;3.0;ChIJ8Vv9kvNrzpQRt-B_pHSZHjQ;pet_store;-23.6884214;-46.4443817
Pet Shop Mauá;;;;4.2;42.0;ChIJY8OMIItrzpQRiJmNdp-g6Uw;pet_store;-23.6916239;-46.44178
Gatil Fluffy Cats;Rua Brasília, 555;Parque das Américas;Mauá;5.0;1.0;ChIJC4jp8SVczpQRlDX4hpUVEEE;pet_store;-23.6838881;-46.4487133
Casa de rações Cardeal;;;;5.0;35.0;ChIJg9M4GFBrzpQR3r1HoVoFWqo;pet_store;-23.6893771;-46.442666
Petland Parque das Américas;Rua Bolívia, 68;Parque das Américas;Mauá;4.6;22.0;ChIJb0LeMGRrzpQRSQ7mQPphJ9Y;pet_store;-23.6820067;-46.4514274
PetZoom - Mauá;Rua Bolívia, 68;Parque das Américas;Mauá;4.9;75.0;ChIJPRgXVeRrzpQRcriN55yavfA;pet_store;-23.6820067;-46.4514274
Nannda Pet's;;;;5.0;2.0;ChIJA8mMvhBrzpQRhfzg5MfYam0;pet_store;-23.6804126;-46.46016729999999
Ka Cordibeli PetShop;Rua Doutor Vicente de Carvalho Bruno, 764;Jardim Flórida;Mauá;5.0;2.0;ChIJmSUCRcRrzpQRerE9fgxMN6k;pet_store;-23.6842431;-46.44408429999999
Centro Veterinário Mundo dos Pets;;;;5.0;2.0;ChIJ8RkY7ClrzpQRHYUYZY77ZV4;veterinary_care;-23.6911456;-46.4488877
Clinica Veterinária Miu patas;Rua Brasil, 1669;Parque das Américas;Mauá;5.0;4.0;ChIJ0bntWThrzpQRdenXZu6Wv-Y;veterinary_care;-23.6912211;-46.448787
Elisandra Zibordi;Rua Benedito Rodrigues Alves, 49;Vila Vitoria;Mauá;5.0;3.0;ChIJ-R6RKOZrzpQRrRPmve9qMy4;veterinary_care;-23.6856951;-46.4555623
House Dog & Cat;Rua Benedito Rodrigues Alves, 49;Vila Nossa Senhora das Vitorias;Mauá;4.8;137.0;ChIJ-R6RKOZrzpQRzBHR3aRIZyw;veterinary_care;-23.6856861;-46.4555596
Pet Shop Carinho;Avenida Itapark, 2742;Jardim Itapark Velho;Mauá;4.5;35.0;ChIJg0KUaP9rzpQRiw2GTpWd-i8;pet_store;-23.6837119;-46.4382071
Casa de Rações;Whatsapp: (11) 98564 - 4629__Al - Rua Frederico Maziero, 78;Alianca;Ribeirão Pires;5.0;6.0;ChIJS2iwsnRszpQRAjYrSpgrx5w;pet_store;-23.6882591;-46.4350909
Casa de Ração Laine;Rua Doutor Vicente de Carvalho Bruno, 642;Jardim Flórida;Mauá;5.0;2.0;ChIJmzZ9Aa1rzpQRnJ4z273gRk4;pet_store;-23.68324320000001;-46.44400840000001
Casa de Ração São Francisco;rua alonso de, Rua Alonso Vasconcelos Pacheco, 2335;Jd.Falchi;Mauá;4.4;33.0;ChIJeVNapvdrzpQRbBuG__OwTtI;pet_store;-23.6826659;-46.4415119
Papa Léguas Agropet;Avenida Itapark, 2826;Jardim Itapark;Mauá;4.8;25.0;ChIJ4WzIp0ZtzpQRpLolmXR0_OQ;pet_store;-23.68340779999999;-46.43757819999999
Pet Shop Latmia;Rua Jaspe, 122;Jardim Itapark Velho;Mauá;5.0;4.0;ChIJ-VF1f53slyIRCHJbmd20fPE;pet_store;-23.6830812;-46.4321727
Mauá Saúde Animal;Avenida Itapark, 2916;Jardim Itapark;Mauá;4.5;76.0;ChIJD5PVDW5tzpQRUihfjEwEeHc;veterinary_care;-23.6827919;-46.4368339
Pet tosa Mauá - estética canina /banho e tosa •spa;Rua Luiz Benedetti, 182;Jardim Esperanca;Mauá;5.0;11.0;ChIJQ8amWvVtzpQRu5Y-vfkVpj4;pet_store;-23.683363;-46.414608
Pequenos de Patas Pet Shop;Rua Adélia Renzeti, 1170;Pilar Velho;Mauá;5.0;83.0;ChIJOV9o0sJtzpQRpHvOhMyz8mM;pet_store;-23.6832029;-46.4119632
Mundo Pet Shop;Avenida José Moreira, 499;Jardim Quarto Centenario;Mauá;4.7;12.0;ChIJq04fDj9szpQRx3YMZ1meGWo;pet_store;-23.6804151;-46.4171
Pet Shop Amor por Patas;;;;5.0;9.0;ChIJ62erHrhtzpQRbViEIDKX3ro;pet_store;-23.6808015;-46.411505
Peti & Gatô - Estética Animal;Rua Professor Antônio Nunes, 54;3 - Santa Luzia;Ribeirão Pires;5.0;13.0;ChIJ-7MhFQBtzpQRVU-Vo_QciKg;pet_store;-23.6912778;-46.39301040000001
Pet Céu De Patas Banho E Tosa;Rua Colorado, 538;Santa Luzia;Ribeirão Pires;5.0;17.0;ChIJHw4_UQptzpQRazvQpoKAl_g;pet_store;-23.6915666;-46.3844815
Casa de Rações Santana;Rua Ernesto Maziero, 159;Santa Luzia;Ribeirão Pires;3.7;3.0;ChIJAQBUpwptzpQRdSB53j5X3BM;pet_store;-23.6888973;-46.3825479
Equipe Pet's;;;;5.0;1.0;ChIJF09FzZBtzpQRKfO6-dReTH8;pet_store;-23.687263;-46.3806458
Abrantes Magnus;Rodovia Índio Tibiriçá, 2258;Jardim dos Eucaliptos;Ribeirão Pires;4.6;193.0;ChIJsdup1IFtzpQREr39sNIVkcU;pet_store;-23.6821925;-46.3648503
DOCAMPO;;;;4.8;17.0;ChIJz6vAEbNzzpQRQ5gEDly5XGY;pet_store;-23.6816872;-46.3595693
Casa de Ração ABRANTES;Rodovia Índio Tibiriçá, 2258;Represa;Ribeirão Pires;5.0;1.0;ChIJJ9tQsIlzzpQRA-cRpjpj1oE;pet_store;-23.6808749;-46.358607
Casa de ração 3 irmãos;Estrada do Koyama, 7625;Clube dos Oficiais;Suzano;5.0;1.0;ChIJ9bctIABzzpQRi1HlE9wN0Rw;pet_store;-23.68455059999999;-46.3037826
Pit Stop Pet;Rua Copacabana, 442;Jardim Copacabana;São Bernardo do Campo;4.7;90.0;ChIJv3zAsQdDzpQR-_l5kf6HWhA;pet_store;-23.67360539999999;-46.5626185
Pet da Andrea;Rua Luiz Ferreira da Silva, 494;Parque Sao Diogo;São Bernardo do Campo;4.2;5.0;ChIJ2dDUETRczpQR9Vk_qpesXuY;pet_store;-23.6810447;-46.56023839999999
Avicultura Jordanópolis;Rua Sérgio Milliet, 366;Chácara Sergipe;São Bernardo do Campo;4.6;114.0;ChIJpTCP3Z9DzpQRXuebSzIxujA;pet_store;-23.6807357;-46.5753569
Cãoveniencia Pet shop / Banho e Tosa / Veterinária;Avenida Winston Churchill, 713;Rudge Ramos;São Bernardo do Campo;4.6;243.0;ChIJ1_k4rMdDzpQRJaw3DY8rQQQ;pet_store;-23.670033;-46.56075099999999
LM Bichinho;Avenida Caminho do Mar, 2094;Rudge Ramos;São Bernardo do Campo;4.7;274.0;ChIJFXFFdjVDzpQRe2NSDvQyrkM;pet_store;-23.6685376;-46.5677031
JC Tavares Agropecuária LTDA - Loja de Ração e Produtos Veterinários;Avenida Bom Pastor, 787;Jardim Bom Pastor;Santo André;5.0;12.0;ChIJPy3H76BDzpQRhjsEgpG8HUU;veterinary_care;-23.6763347;-46.5526431
Avicultura Faisão Dourado;Rua José D'Angelo, 326;Jardim Ocara;Santo André;4.5;37.0;ChIJB9GqEFJCzpQRqwshPmlbJ2M;pet_store;-23.68026960000001;-46.5506267
Pet shop Vila Novaconquista;Rua da Glória, 378;Piraporinha;Diadema;5.0;1.0;ChIJUZGdtnlDzpQRLr8zWTyVvos;pet_store;-23.6807692;-46.5851194
Petz Assaí Anchieta;Rua García Lorca, 301;Paulicéia;São Bernardo do Campo;3.9;12.0;ChIJa3UyN7FDzpQRMpzR7SZJCm4;pet_store;-23.66891;-46.5742948
Petland Rudge Ramos;Avenida Caminho do Mar, 2227;Rudge Ramos;São Bernardo do Campo;4.5;15.0;ChIJA4NnZWpfzpQRaHRIy12os8U;pet_store;-23.6673521;-46.5685154
Happy Pet;Rua Professor Licínio, 436;Vila Scarpelli;Santo André;4.9;32.0;ChIJAaTEFU5CzpQRYqWb57_nNiM;pet_store;-23.681307;-46.54884070000001
Aunimal Pet Shop;Avenida Presidente Arthur Bernardes, 497;Rudge Ramos;São Bernardo do Campo;4.8;45.0;ChIJRWAhmJpDzpQRla6fT1LlzIE;pet_store;-23.6672058;-46.56316409999999
Pet Shop Late, mia & Cia;Rua Raio de Sol, 326;Vila Padre Anchieta;Diadema;4.6;24.0;ChIJUzSrRP9DzpQR_BGAL_5ENBg;pet_store;-23.6865628;-46.5865121
BE+pet Pet Shop;Avenida Senador Vergueiro, 3170;Anchieta;São Bernardo do Campo;4.8;110.0;ChIJNRSQYgRDzpQR-7HBuSV5Upg;pet_store;-23.6678895;-46.5602329
Pet Shop Anchieta;Avenida Doná Ida Cerati Magrini, 397;Piraporinha;Diadema;4.8;23.0;ChIJdVvsRIJDzpQRAq7BdyXlVao;pet_store;-23.6856823;-46.5868101
Petshop vila são josé;Rua das Palmas, 44;Piraporinha;Diadema;4.7;29.0;ChIJEduWcKpDzpQRzEY76wQ4PNI;pet_store;-23.673927;-46.583526
Fauna - Diagnostic Center and Veterinary Specialties;Rua Copacabana, 918;Jardim Copacabana;São Bernardo do Campo;4.2;100.0;ChIJl6GVGAlDzpQR5xwPjgaT_wg;veterinary_care;-23.6736909;-46.567327
CHVet;Rua Gabriel D'Anunzio, 264;Rudge Ramos;São Bernardo do Campo;5.0;2.0;ChIJJR-WcRJDzpQR9VLVmOxBhmE;veterinary_care;-23.6685186;-46.5707935
Golden Cão;;;;4.9;55.0;ChIJa_zbP3VDzpQRJljCscxlV2U;veterinary_care;-23.6788013;-46.575249
Clinpety Banho e tosa + Consulta veterinária;Rua Universal, 654;Jardim Hollywood;São Bernardo do Campo;4.6;34.0;ChIJE3Bra4ZDzpQRK9zI7KCa8vo;veterinary_care;-23.675168;-46.5628884
PULO DO GATO VETERINÁRIA EXCLUSIVA DE FELINOS;Rua Luiz Ferreira da Silva, 120;Parque Sao Diogo;São Bernardo do Campo;5.0;176.0;ChIJd3E5ArlDzpQRGjStWetLeO4;veterinary_care;-23.6810101;-46.5565581
Centro Médico Veterinário Saúde Animal;Rua Vera Cruz, 791;Anchieta;São Bernardo do Campo;4.9;240.0;ChIJky1dWF1DzpQRbKGkynqb8aE;veterinary_care;-23.67417;-46.56143349999999
clinica veterinaria recanto divino dos animais;Rua Ipanema, 416;Anchieta;São Bernardo do Campo;5.0;19.0;ChIJucxrWKBDzpQRxmmghHrILRk;veterinary_care;-23.6727121;-46.56278320000001
Clínica Veterinária De Cara Com O Bicho;Avenida Senador Vergueiro, 2351;Rudge Ramos;São Bernardo do Campo;4.8;62.0;ChIJN72FvFVDzpQRXgWNJEP4wgQ;veterinary_care;-23.6748209;-46.5578498
Veterinário Domiciliar - Uma VET na sua casa;;;;4.9;30.0;ChIJ77McwfRDzpQRADWAACXvYL4;veterinary_care;-23.6769402;-46.5519703
Minha Vet - Veterinária em Santo André;Rua José D'Angelo, 377;Jardim Ocara;Santo André;5.0;71.0;ChIJsYE9uKpDzpQRZgzBG1AaCFI;veterinary_care;-23.6803552;-46.5500663
Estima Animal - Veterinário - Vacinas- Cirurgias;Rua Paulo di Favari, 740;Vila Caminho do Mar;São Bernardo do Campo;4.9;521.0;ChIJSRhTFgVDzpQRWKuY4nlsyKk;veterinary_care;-23.667529;-46.5614658
Clinica Veterinária Clarissa Klein - Medicina Felina - Exclusiva para Gatos;Avenida Presidente Arthur Bernardes, 670;Vila Caminho do Mar;São Bernardo do Campo;5.0;52.0;ChIJK4Hlj8FDzpQRPQ7p9234P9w;veterinary_care;-23.66745989999999;-46.5613908
Pet Anjo Rudge Ramos: Veterinário, Banho e tosa, Vacinas em São Bernardo;Avenida Caminho do Mar, 2341;Rudge Ramos;São Bernardo do Campo;4.9;60.0;ChIJz5AnULZDzpQRWKyyPHruUr4;veterinary_care;-23.6665074;-46.56887529999999
Pitsy Bichos Comércio Acessórios para Animais;Rua Santa Adelaíde, 95;Vila Scarpelli;Santo André;4.6;57.0;ChIJs1-efVpCzpQR5XC-Eed8K5k;pet_store;-23.676758;-46.5452456
Portal Dos Bichos Pet shop Curso de Banho e Tosa;Rua Senador Queirós, 346;Vila Scarpelli;Santo André;4.7;115.0;ChIJoQvI_llCzpQRWa-DOk_cdqA;pet_store;-23.6740036;-46.54483719999999
Happy Pet;Rua Xingu, 580;Vila Valparaíso;Santo André;4.6;141.0;ChIJG_KT2FdCzpQR02o7l862EPw;pet_store;-23.6702054;-46.5467902
Centro Veterinario Higienopolis;Rua Caminho do Pilar, 1271;Vila Gilda;Santo André;4.8;125.0;ChIJX1xphFxCzpQR3EuSeCTMaQI;veterinary_care;-23.6727462;-46.54065079999999
Animatrix comércio pet;Rua Claúdia, 17;Vila Scarpelli;Santo André;4.8;81.0;ChIJQcYVt7RDzpQRtHmlE1ss7jQ;pet_store;-23.681331;-46.5449908
PuppyCia;Rua dos Americanos, 137;Baeta Neves;São Bernardo do Campo;5.0;12.0;ChIJxxbabppDzpQR4gKfGnq_RNs;pet_store;-23.685005;-46.5437912
Z&Gesteticapetz;;;;5.0;1.0;ChIJJ_MfHD5DzpQRN-1VQt_4dE8;pet_store;-23.6763003;-46.5478027
Casa Pires;Rua Caminho do Pilar, 2044;Vila Gilda;Santo André;4.8;9.0;ChIJaefXr1pCzpQRceIoAgL1fBM;pet_store;-23.6784359;-46.544551
Avicultura Tico-Tico;Rua Ibiacema, 122;Vila Floresta;Santo André;4.8;25.0;ChIJxXwr9FZCzpQRZ1li6ADaII0;pet_store;-23.6732535;-46.5485881
Zoopet Santo André;Rua Caminho do Pilar, 1656;Vila Gilda;Santo André;4.9;248.0;ChIJWQKCwP1DzpQRVsF3AEd52Ns;pet_store;-23.6752409;-46.5428763
Casa Cão;Rua Muritiba, 335;Vila Scarpelli;Santo André;5.0;1.0;ChIJe3jj3llCzpQRdOdYRKT0aig;pet_store;-23.67294740000001;-46.5449804
World Of Bunnies - Mini Coelho e Coelho Anão;Rua Rio Preto, 700;Vila Valparaíso;Santo André;4.5;8.0;ChIJb0E3yWFDzpQRibH-LuEYUoY;pet_store;-23.6700042;-46.5505904
Dog Smile - Nursery and Hotel for Dogs;Avenida Atlântica, 723;Vila Valparaíso;Santo André;4.5;58.0;ChIJnYtUY6VDzpQRnV7FifUSxho;veterinary_care;-23.6679378;-46.54863719999999
Eddie Pet Dog;Avenida João XXIII, 72;Vila Boa Vista;Santo André;5.0;1.0;ChIJD7aSUwBDzpQRw41ekE3WKZc;veterinary_care;-23.67470100000001;-46.5409133
Gaona Cats;Avenida Atlântica, 717;Vila Valparaíso;Santo André;5.0;2.0;ChIJp_XrhKdDzpQRXS_gS562Hyw;veterinary_care;-23.66810479999999;-46.5484578
Zooflora Pet;Avenida Higienópolis, 59;Vila Gilda;Santo André;4.8;262.0;ChIJm7yp3l5CzpQRoF0HSHkrDMo;pet_store;-23.6702553;-46.53936489999999
New Mr. Fish Aquarismo e Serviços Ltda. - ME / O Canto da Sereia Lounge;Praça Almeida Júnior, 65;Vila Assunção;Santo André;4.7;120.0;ChIJawigxnFCzpQRQW_XZ4K1ph8;pet_store;-23.675296;-46.52498689999999
Pet Shop and Veterinary - Mutt;Rua José Bonifácio, 319;Vila Assunção;Santo André;4.7;174.0;ChIJOxejsmVCzpQRJaQapj9vzCw;veterinary_care;-23.6711539;-46.528889
Pet Shop Belas Patas Pet Boutique;Rua Gonçalo Fernandes, 265;Vila Floresta;Santo André;4.7;23.0;ChIJfXJY4vVCzpQRK05ASGJ3fM0;veterinary_care;-23.667212;-46.540367
PORTAL DOS FILHOTES;Avenida Pereira Barreto, 42;Vila Gilda;Santo André;3.2;13.0;ChIJS_C5V2BCzpQRJ65Ekj8esMk;pet_store;-23.66786849999999;-46.5336041
Pet Shop Vitoria & Bia;Rua Evaristo de Morais, 498;Jardim Stella;Santo André;4.4;27.0;ChIJf92xrEVCzpQREUVvxSLWU6k;pet_store;-23.6832818;-46.53725980000001
Banho e Tosa Pet Shop Vila Gilda;;;;5.0;1.0;ChIJ0R7Fy-xNzpQRxPDnexQPop4;pet_store;-23.675437;-46.5384676
RECANTO ANIMAL;Rua Juquiá, 683;Jardim Cristiane;Santo André;5.0;1.0;ChIJMfzBzmxCzpQRpmKa7yBinZ4;pet_store;-23.6826689;-46.5291255
Banho e Tosa Pet Shop Paraíso;;;;5.0;1.0;ChIJDwKtuktZzpQRBIUPSBFxru4;pet_store;-23.6742184;-46.53447269999999
Perinelli Veterinary Oncology;Rua Jabaquara, 399;Paraíso;Santo André;4.7;112.0;ChIJe_LvR2hCzpQRsqiXouxYepI;veterinary_care;-23.6770789;-46.53427439999999
PetShop - Bicho da Villa;Avenida Higienópolis, 101;Vila Gilda;Santo André;4.3;206.0;ChIJtQTCxF5CzpQRZteoMXDsARM;veterinary_care;-23.67056700000001;-46.539224
